ind,Lambda,max packing efficiency,OFM: s^1 - s^2,OFM: s^1 - d^2,OFM: s^2 - s^2,OFM: s^2 - s^1,OFM: p^1 - p^1,OFM: s^1 - d^10,std_dev Gaussian center=1.0 width=1.0,OFM: p^1 - s^1,OFM: s^1 - f^1,OFM: s^1 - p^4,avg d valence electrons,std_dev Gaussian center=6.0 width=1.0,std_dev Gaussian center=4.0 width=1.0,OFM: d^1 - s^1,OFM: s^1 - s^1,std_dev Gaussian center=8.0 width=1.0,OFM: p^4 - s^1,std_dev Gaussian center=3.0 width=1.0,mean Gaussian center=1.0 width=1.0,OFM: s^1 - p^3,mean Gaussian center=2.0 width=1.0,OFM: s^1 - p^1,avg p valence electrons,structural complexity per cell,mean Gaussian center=5.0 width=1.0,mean Gaussian center=3.0 width=1.0,structural complexity per atom,avg f valence electrons,mean Gaussian center=7.0 width=1.0,avg s valence electrons,std_dev Gaussian center=2.0 width=1.0,std_dev Gaussian center=7.0 width=1.0,mean Gaussian center=9.0 width=1.0,std_dev Gaussian center=5.0 width=1.0,OFM: s^1 - d^1,std_dev Gaussian center=9.0 width=1.0,std_dev Gaussian center=0.0 width=1.0,mean Gaussian center=0.0 width=1.0,mean Gaussian center=4.0 width=1.0
314,1.06,0.4221332795576874,0.0,0.0,0.0,0.0,0.0,0.0,0.0091414618774346,0.0,0.0,0.0,0.0,0.0002486731833035,0.000613460943556,0.0,2.7247725515058074,8.885698178615894e-05,0.0,0.0009453082954264,0.5038949007478843,0.0,0.5243330628078375,0.0,0.0,12.0,0.5246542501525535,0.524218960509701,1.5,0.0,0.5245387760593061,1.0,0.0024083735947926,0.0001482710891633,0.5244355851665448,0.0004361604904216,0.0,0.0012038026539133,0.0270008256016296,0.3556229861731604,0.5246915786059203
315,1.16,0.3010742465710218,0.0,0.0,0.0,0.0,0.0,0.0,0.0057665833526748,0.0,0.0,0.0,0.0,0.0011015421595861,0.0015404473076434,0.0,2.39634990388984,0.0006595147574997,0.0,0.0014406953324359,0.572283958132761,0.0,0.5915502354653839,0.0,0.0,4.141709450076292,0.5926450379545541,0.5922892865623091,0.5916727785823275,0.0,0.5923999509328292,1.0,0.0001754421243771,0.0008939143039483,0.5875030103345973,0.0013476770447308,0.0,0.001103247591268,0.0213678456411103,0.4220167197255415,0.5919317490887835
316,1.3,0.3033667241417689,0.0,0.0,0.0,0.0,0.0,0.0,0.0057377354085881,0.0,0.0,0.0,0.0,0.0010999866938017,0.0015331100136587,0.0,2.400523420050372,0.0006872519646708,0.0,0.001433565754918,0.5726058081606292,0.0,0.5918296990443344,0.0,0.0,4.141709450076292,0.5929229242130631,0.5925725255782918,0.5916727785823275,0.0,0.5926815999140291,1.0,0.0001735262102988,0.0008943366145258,0.5890436310462815,0.0013429059329405,0.0,0.0006316700159027,0.0212545429652611,0.4221838485355435,0.5922155276197384
317,0.636,0.1946319694335426,0.0,0.0,0.0,0.0,0.0,0.0,0.0053703634525976,0.0,0.0,0.0,0.0,0.0001403764450537,0.0002046370135335,0.0,1.7787115173914854,0.0001196591273823,0.0,0.0004287708039653,0.3749130548466551,0.0,0.4015599265798688,0.0,0.0,4.529325012980812,0.4010347155397977,0.4023434661801416,0.5032583347756457,0.0,0.4013237495444954,1.0,0.0013804087165095,0.0001003401123621,0.4005680300089293,0.0001759960598478,0.0,0.000926803948617,0.0156540487383991,0.2471819043649857,0.4011467524970356
318,0.64,0.2100245242889704,0.0,0.0,0.0,0.0,0.0,0.0,0.0049755135745111,0.0,0.0,0.0,0.0,0.0003770885772502,0.0003783752296419,0.0,1.8922971504726889,5.4446032200366905e-05,0.0,7.117895289352941e-05,0.439550292752364,0.0,0.4622148103491132,0.0,0.0,4.529325012980812,0.4624991412970998,0.4635610275988727,0.5032583347756457,0.0,0.4633244245051474,1.0,0.0009254685772219,0.0001416783738975,0.4674527685745928,0.0004533176258655,0.0,0.0015939648902083,0.0152548664352173,0.3009732270889963,0.4630781908993245
319,0.646,0.2216126664036824,0.0,0.0,0.0,0.0,0.0,0.0,0.0048436181023765,0.0,0.0,0.0,0.0,0.0005914667956035,0.0007406872875093,0.0,1.9816704774545515,6.0666286551808274e-05,0.0,0.0003624838853991,0.4935441974028863,0.0,0.5141823027307645,0.0,0.0,4.529325012980812,0.5150170487824273,0.5154796917376303,0.5032583347756457,0.0,0.5153495890298699,1.0,0.0007159306668369,0.0002694108740017,0.518975549246192,0.0007917292682424,0.0,0.0004410815213047,0.0151316546037342,0.3487405134992139,0.5153929515132499
320,1.63,0.2544820659427687,0.2088974308140656,0.0,0.0,0.0722991328463868,0.0,0.0,0.0097152207244794,0.0,0.0,0.0,0.0,0.002241654370844,0.0051576339925218,0.0,1.7418416519229598,0.001800995498702,0.0,0.0034578179031393,0.5265223534561251,0.0,0.5429111979906475,0.0,0.0,186.1173000519232,0.5455771420380804,0.5467209926843007,5.1699250014423095,0.0,0.5468146341520631,1.0555555555555556,0.0100729122194345,0.0026627080116667,0.5465349325468458,0.0034369866670944,0.0,0.0030785674889555,0.0418676170678566,0.3899155330137388,0.5471252818319187
321,0.82,0.4254446260582769,0.2388118079916602,0.0,0.073606956066031,0.3456689537456651,0.0,0.0,0.0944345588265469,0.0,0.0,0.0,0.0,0.0201979076444274,0.0086990264360948,0.0,1.3529769752711682,0.007018448708623,0.0,0.020094816389765,0.3127422063747977,0.2388118079916602,0.3206429211044163,0.0,0.6,25.219280948873624,0.2920461524976774,0.3059339079430291,2.5219280948873624,0.0,0.2960811506190479,1.2,0.0522166161921331,0.0077444878057768,0.3056679198266129,0.0217502548298806,0.0,0.0149120350418963,0.1044645943205451,0.1951121658467217,0.2967773338359117
322,0.25,0.4221098967520569,0.277765931993202,0.0,0.0339015715407905,0.3093028509135365,0.0,0.0,0.0180218450628714,0.0,0.0,0.0,0.0,0.0012887479258458,0.0017556556358384,0.0,1.5829564984902829,0.0015203489317368,0.0,0.0072060392940615,0.2702102657194767,0.277765931993202,0.2920064255598505,0.0,0.5,27.01955000865388,0.2933037640163559,0.2921347127683336,2.2516291673878226,0.0,0.2925257891274543,1.1666666666666667,0.0052798264230352,0.0023258692115327,0.2927201710608998,0.0042264184144757,0.0,0.002599682579359,0.0169094498552283,0.1442244894650914,0.2928598264906725
323,1.62,0.4218626933112361,0.4978524249104976,0.0,0.0,0.2412909767142769,0.0,0.0,0.0020965409754824,0.0,0.0,0.0,0.0,0.0015407315064414,0.0003232065338125,0.0,1.8060710070248664,0.0005384358085101,0.0,0.0022697724546262,0.3593105683561324,0.4978524249104976,0.3784659398277876,0.0,0.375,8.490224995673064,0.3797102483997048,0.3802456446044265,1.061278124459133,0.0,0.3798271130255704,1.125,0.0046393213150858,0.0005485390080724,0.3821546115349206,0.0016400624736017,0.0,0.0015991600848678,0.0136841059592611,0.2121848989036995,0.3798737028471376
324,1.29,0.423496929200171,0.5100244846088309,0.0,0.0,0.2481429107750555,0.0,0.0,0.0012312326090382,0.0,0.0,0.0,0.0,0.0014670986567086,9.689410409815095e-05,0.0,1.8532672921800808,0.0001936484324548,0.0,0.0023150205485669,0.387880621160987,0.5100244846088309,0.4065732579937315,0.0,0.375,8.490224995673064,0.4077778339870191,0.4082289998377805,1.061278124459133,0.0,0.4077935301433267,1.125,0.0041317549243634,0.0007733595564785,0.4023083839908907,0.0012753671786785,0.0,0.0013046648187903,0.0141743964650807,0.2383881778765116,0.4078216541639
325,1.11,0.4234005938002856,0.5201657337535259,0.0,0.0,0.2530196531791756,0.0,0.0,0.0005559115305002,0.0,0.0,0.0,0.0,0.0012952460193161,0.000459085956637,0.0,1.8899341473454463,0.0001801123961131,0.0,0.0023528145301497,0.4130814074279404,0.5201657337535259,0.4315086969459273,0.0,0.375,8.490224995673064,0.4326619694071005,0.4330612372356549,1.061278124459133,0.0,0.4326018290885655,1.125,0.0037281103274095,0.0009008044937269,0.4381615091402954,0.0008874683681371,0.0,0.0027274959775422,0.0146899206304252,0.2620055312898318,0.4326129865852786
326,1.2753623188405792,0.7404804896930608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.565701193322772,0.0,0.0,0.0,0.0415376027752455,0.0,0.1031600575526198,0.0,0.0,0.0,0.0920312766523079,0.088240393261208,0.0,0.0,0.0934740004496523,1.0,0.0,0.0,0.0940225531769726,0.0,0.0,0.0,0.0,0.0047171104884804,0.0960141842309773
327,1.3478260869565215,0.7404804896930607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.573840517631817,0.0,0.0,0.0,0.0425179288390467,0.0,0.1041632134323468,0.0,0.0,0.0,0.0927885993017124,0.088990214718135,0.0,0.0,0.0942166293018034,1.0,0.0,0.0,0.093751776012403,0.0,0.0,0.0,0.0,0.0049033590865913,0.0970399992931182
328,1.4347826086956523,0.7404804896930608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5837774746329845,0.0,0.0,0.0,0.0437308387361792,0.0,0.1053843430557238,0.0,0.0,0.0,0.0937282029456168,0.0899249342451678,0.0,0.0,0.0951332514443435,1.0,0.0,0.0,0.093329580192575,0.0,0.0,0.0,0.0,0.0051382070855837,0.0982896465752693
329,1.5362318840579707,0.7404804896930611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.592182591077709,0.0,0.0,0.0,0.0447704688465685,0.0,0.1064142681931974,0.0,0.0,0.0,0.0945361222092597,0.0907321105226402,0.0,0.0,0.0959178720721081,1.0,0.0,0.0,0.0928943498736871,0.0,0.0,0.0,0.0,0.0053433815469504,0.0993442941924031
330,1.666666666666667,0.7404804896930611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6029666901856525,0.0,0.0,0.0,0.0461225949601003,0.0,0.1077319096069299,0.0,0.0,0.0,0.0955907490705271,0.0917899251939153,0.0,0.0,0.0969381078864657,1.0,0.0,0.0,0.0922322469525385,0.0,0.0,0.0,0.0,0.0056155743061684,0.1006942849322507
331,1.8260869565217388,0.7404804896930612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61105336862693,0.0,0.0,0.0,0.0471498602452789,0.0,0.1087173051403039,0.0,0.0,0.0,0.0963951149933468,0.0925994598559505,0.0,0.0,0.097713831975055,1.0,0.0,0.0,0.0916603833325759,0.0,0.0,0.0,0.0,0.0058264053787375,0.1017042917443343
